"chapter_index","chapter","dialogue_index","line_index","speaker","line","neutral","surprise","happiness","ambitious","anger","sadness","fear"
"18","Back to Lumière","2","1","Renoir","Alicia. You’re safe. I thought I told you to stay home.","0.7","0.0","0.3","0.0","0.0","0.0","0.0"
"18","Back to Lumière","2","2","Maelle","Technically my body’s at home.","0.9","0.0","0.1","0.0","0.0","0.0","0.0"
"18","Back to Lumière","2","3","Renoir","Some of Aline’s finest work. I regret that it caused you so much pain. What Aline did was unfair, to you most of all. Please, accept the Dessendre family’s apologies. I know it seems absurd to offer oblivion as recompense, but perhaps that’s the outcome we both desire.","0.4","0.0","0.0","0.0","0.0","0.6","0.0"
"18","Back to Lumière","2","4","Maelle","What—","0.0","0.7","0.0","0.0","0.0","0.0","0.3"
"18","Back to Lumière","2","5","Renoir","I’m proud of you. Getting your mother out of the Canvas was not easy. But once we erase the Canvas, we won’t have to worry anymore.","0.7","0.0","0.3","0.0","0.0","0.0","0.0"
"18","Back to Lumière","2","6","Maelle","But she’s home now, why—","0.0","0.5","0.0","0.0","0.0","0.5","0.0"
"18","Back to Lumière","2","7","Renoir","You know your mother. Verso painted this Canvas, it contains a piece of his soul. She’ll never willingly part with it.","0.7","0.0","0.0","0.0","0.0","0.3","0.0"
"18","Back to Lumière","2","8","Maelle","No.","0.0","0.0","0.0","0.0","0.0","0.7","0.3"
"18","Back to Lumière","2","9","Renoir","For the sake of the living, we must part with the dead.","0.6","0.0","0.0","0.0","0.0","0.4","0.0"
"18","Back to Lumière","2","10","Maelle","No, Papa, see, I hid the canvas—","0.0","0.0","0.0","0.0","0.0","0.5","0.5"
"18","Back to Lumière","2","11","Renoir","She will always find it. This is our only opportunity, while she’s too sick from her prolonged descent into the canvas to return.","0.4","0.0","0.0","0.0","0.0","0.6","0.0"
"18","Back to Lumière","2","12","Maelle","But— No… Papa, Papa, please. This is Verso’s only Canvas. You can’t destroy the last piece of him that we have. This is my home now! You can’t just decide—","0.0","0.0","0.0","0.0","0.4","0.4","0.2"
"18","Back to Lumière","2","13","Renoir","Your home? After all that with your mother, you want to stay?","0.4","0.0","0.0","0.0","0.0","0.6","0.0"
"18","Back to Lumière","2","14","Maelle","You know how little remains of my life. Outside.","0.3","0.0","0.0","0.0","0.0","0.7","0.0"
"18","Back to Lumière","2","15","Renoir","Alicia. You’ll die. You’ve already been here longer than you should.","0.0","0.0","0.0","0.0","0.0","0.5","0.5"
"18","Back to Lumière","2","16","Maelle","But—","0.0","0.0","0.0","0.0","0.0","0.6","0.4"
"18","Back to Lumière","2","17","Renoir","No. Look at me, I said no. I am not letting my daughter risk her life. Alicia.","0.0","0.0","0.0","0.0","0.5","0.5","0.0"
"18","Back to Lumière","2","18","Maelle","I’m not Maman. I’m not going to lose myself if I stay!","0.0","0.0","0.0","0.0","0.4","0.4","0.2"
"18","Back to Lumière","2","19","Renoir","I know full well you will. And I am not doing this again.","0.0","0.0","0.0","0.0","0.6","0.4","0.0"
"18","Back to Lumière","2","20","Maelle","No! Papa, what are you—","0.0","0.0","0.0","0.0","0.0","0.5","0.5"
"18","Back to Lumière","2","21","Renoir","It’s time to go home.","0.7","0.0","0.0","0.0","0.0","0.3","0.0"
"18","Back to Lumière","2","22","Esquie","Mes amis!","0.0","0.2","0.8","0.0","0.0","0.0","0.0"
"18","Back to Lumière","2","23","Monoco","All aboard!","0.0","0.2","0.8","0.0","0.0","0.0","0.0"
"18","Back to Lumière","2","24","Maelle","Verso, come on. Come on! I can see them.","0.0","0.0","0.0","0.5","0.0","0.0","0.5"
"18","Back to Lumière","3","0","Maelle","Papa did it so easily. What am I doing wrong?","0.7","0.0","0.0","0.0","0.0","0.3","0.0"
"18","Back to Lumière","3","1","Monoco","Don’t be discouraged. It’s only been a day since you remembered your Paintress side.","0.6","0.0","0.4","0.0","0.0","0.0","0.0"
"18","Back to Lumière","3","2","Esquie","We believe in you!","0.3","0.0","0.7","0.0","0.0","0.0","0.0"
"18","Back to Lumière","3","3","Verso","Remember them. Painting isn’t about verisimilitude. It’s about essence. The truth of who they are. Your father made the Axons, right?","0.8","0.0","0.2","0.0","0.0","0.0","0.0"
"18","Back to Lumière","3","4","Monoco","She Who Plays with Wonder. He Who Guards Truth With Lies.","0.7","0.0","0.3","0.0","0.0","0.0","0.0"
"18","Back to Lumière","3","5","Verso","They’re the essence of your mother. And… your brother.","0.7","0.0","0.0","0.0","0.0","0.3","0.0"
"18","Back to Lumière","3","6","Lune","How did we—","0.3","0.7","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","3","7","Sciel","We gommaged…","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","3","8","Lune","Maelle… Your hair?","0.4","0.6","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","3","9","Maelle","We have much to talk about.","0.7","0.0","0.0","0.0","0.0","0.3","0.0"
"18","Back to Lumière","4","0","Lune","So you are her daughter. And you are a Paintress too.","0.7","0.3","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","4","1","Esquie","So cool, right??","0.2","0.0","0.8","0.0","0.0","0.0","0.0"
"18","Back to Lumière","4","2","Lune","And you. You knew this whole time. You fucking coward. You betrayed us. We trusted you and you—","0.0","0.0","0.0","0.0","0.8","0.2","0.0"
"18","Back to Lumière","4","3","Sciel","You can bring them back too, yeah? Everyone we’ve lost.","0.6","0.0","0.0","0.4","0.0","0.0","0.0"
"18","Back to Lumière","4","4","Maelle","I— Yeah. But I need chroma. And Papa controls all the chroma in the Canvas.","0.7","0.0","0.0","0.0","0.0","0.3","0.0"
"18","Back to Lumière","4","5","Lune","No. Not all of it. The Expeditioners, the ones killed by Nevrons. Gustave noticed their Chroma remains in their bodies. They never dissipated, like the Gommage.","0.6","0.0","0.0","0.4","0.0","0.0","0.0"
"18","Back to Lumière","4","6","Maelle","Hmmm. It’s old chroma, not pure. It won’t be like bringing the two of you back, but… we could use it in other ways.","0.7","0.0","0.0","0.3","0.0","0.0","0.0"
"18","Back to Lumière","4","7","Monoco","Time for the greatest Expedition in history.","0.0","0.0","0.3","0.7","0.0","0.0","0.0"
"18","Back to Lumière","5","0","Esquie","Oooooh, everyone’s mad at you.","0.5","0.0","0.5","0.0","0.0","0.0","0.0"
"18","Back to Lumière","5","1","Verso","Are you?","0.8","0.0","0.2","0.0","0.0","0.0","0.0"
"18","Back to Lumière","5","2","Esquie","Esquie can be sad or bad or even rad! But never ever mad. Bad things happen when we get mad.","0.4","0.0","0.6","0.0","0.0","0.0","0.0"
"18","Back to Lumière","5","3","Verso","Oh, I know.","0.8","0.0","0.2","0.0","0.0","0.0","0.0"
"18","Back to Lumière","5","4","Esquie","But I can never be mad at you.","0.3","0.0","0.7","0.0","0.0","0.0","0.0"
"18","Back to Lumière","6","0","Sciel","Save it.","0.3","0.0","0.0","0.0","0.7","0.0","0.0"
"18","Back to Lumière","6","1","Verso","…","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","6","2","Sciel","I don’t need your mea culpa. You did what you felt you had to. Of course, you were wrong, but… oh, well.","0.7","0.0","0.3","0.0","0.0","0.0","0.0"
"18","Back to Lumière","6","3","Verso","I thought you’d be more upset.","0.6","0.4","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","6","4","Sciel","I was. I got over it.","0.7","0.0","0.0","0.0","0.0","0.3","0.0"
"18","Back to Lumière","6","5","Verso","…","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","6","6","Sciel","Everything I knew about our world is wrong. And you know what? I don’t care. ‘Cause death isn’t death anymore. And that means, I can see my husband again.","0.5","0.0","0.5","0.0","0.0","0.0","0.0"
"18","Back to Lumière","6","7","Verso","Sciel…","0.7","0.0","0.0","0.0","0.0","0.3","0.0"
"18","Back to Lumière","6","8","Sciel","Oh, please. I’d sacrifice you in a heartbeat to get him back, so… I understand. We’re good.","0.6","0.0","0.4","0.0","0.0","0.0","0.0"
"18","Back to Lumière","6","9","Verso","Thank you.","0.3","0.0","0.7","0.0","0.0","0.0","0.0"
"18","Back to Lumière","6","10","Sciel","As long as you help me bring Pierre back. You owe me.","0.6","0.0","0.0","0.4","0.0","0.0","0.0"
"18","Back to Lumière","6","11","Verso","You got it.","0.7","0.0","0.3","0.0","0.0","0.0","0.0"
"18","Back to Lumière","7","0","Verso","Lune…","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","7","1","Lune","I was right not to trust you.","0.1","0.0","0.0","0.0","0.9","0.0","0.0"
"18","Back to Lumière","7","2","Verso","And what would you have done in my position?","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","7","3","Lune","I wouldn’t have betrayed my expedition. I would have warned them that everyone they cared about was about to be erased. That THEY were about to be erased. I would have told them the truth. Because after everything we’ve been through, we deserved that.","0.0","0.0","0.0","0.0","0.7","0.3","0.0"
"18","Back to Lumière","7","4","Verso","So you’d choose your expedition over your mother?","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","7","5","Lune","That’s your problem, you think in false dichotomies. It wasn’t an “either/or” situation. Other solutions were possible, if you’d only trusted us enough to ask.","0.0","0.0","0.0","0.0","0.6","0.4","0.0"
"18","Back to Lumière","7","6","Verso","Knowing what you know now, would you have helped me force my mother out of the Canvas?","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","7","7","Lune","…","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","7","8","Verso","I don’t apologise for saving her. But I am sorry I broke your trust. And I will do everything I can to help bring everyone back.","0.5","0.0","0.0","0.0","0.0","0.5","0.0"
"18","Back to Lumière","7","9","Lune","I guess we’ll see…","0.6","0.0","0.0","0.0","0.0","0.4","0.0"
"18","Back to Lumière","8","0","Monoco","Not to say I told you so, but I do believe that I did in fact… tell you so.","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","8","1","Verso","Thanks for the support.","0.7","0.0","0.0","0.0","0.3","0.0","0.0"
"18","Back to Lumière","8","2","Monoco","Was it worth it?","0.7","0.3","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","8","3","Verso","…","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","8","4","Monoco","What will you do now?","0.5","0.0","0.0","0.5","0.0","0.0","0.0"
"18","Back to Lumière","8","5","Verso","I’ll do my best to earn their trust back.","0.4","0.0","0.0","0.6","0.0","0.0","0.0"
"18","Back to Lumière","8","6","Monoco","Quite a steep hill to climb.","0.6","0.0","0.0","0.4","0.0","0.0","0.0"
"18","Back to Lumière","9","0","Maelle","We have to push Papa out of the Canvas before he erases everything.","0.4","0.0","0.0","0.6","0.0","0.0","0.0"
"18","Back to Lumière","9","1","Verso","I’m surprised he hasn’t already.","0.3","0.4","0.0","0.0","0.0","0.0","0.3"
"18","Back to Lumière","9","2","Maelle","He’s been weakened by his battle with Maman. That’s probably why he hasn’t come after us. But it won’t stop him for long.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"18","Back to Lumière","9","3","Verso","If you and your father keep fighting, you risk breaking the world again. Another Fracture, but this time, it might be you trapped inside the Monolith.","0.3","0.0","0.0","0.0","0.0","0.0","0.7"
"18","Back to Lumière","9","4","Maelle","What’s the alternative?","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","9","5","Verso","Maybe… Maybe you should go home.","0.4","0.3","0.0","0.0","0.0","0.0","0.3"
"18","Back to Lumière","9","6","Maelle","Verso…","0.5","0.0","0.0","0.0","0.0","0.5","0.0"
"18","Back to Lumière","9","7","Verso","You’re fighting each other, but you’re all doing the same thing.","0.5","0.0","0.0","0.0","0.0","0.5","0.0"
"18","Back to Lumière","9","8","Maelle","No.","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","9","9","Verso","Aline wants her son back. Renoir wants you and Aline back. You want Gustave back. The cycle we needed to break wasn’t the Gommage. It’s your family’s cycle of grief.","0.5","0.0","0.0","0.0","0.0","0.5","0.0"
"18","Back to Lumière","9","10","Maelle","…","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","9","11","Verso","Our whole world carries the burden of your family’s grief.","0.5","0.0","0.0","0.0","0.0","0.5","0.0"
"18","Back to Lumière","11","0","Sciel","Nice hair.","0.0","0.3","0.7","0.0","0.0","0.0","0.0"
"18","Back to Lumière","11","1","Maelle","Oh, yeah, that.","0.0","0.5","0.5","0.0","0.0","0.0","0.0"
"18","Back to Lumière","11","2","Lune","I can’t believe there’s another world out there. A world I’ll never get to see.","0.0","0.4","0.0","0.0","0.0","0.6","0.0"
"18","Back to Lumière","11","3","Maelle","I’m sorry. I didn’t— My memories— I would’ve told you if I’d known—","0.3","0.0","0.0","0.0","0.0","0.7","0.0"
"18","Back to Lumière","11","4","Lune","Don’t apologise. You were trapped too. You lived among us. You’re one of us. Even if you’re also one of them.","0.4","0.0","0.0","0.0","0.0","0.6","0.0"
"18","Back to Lumière","11","5","Maelle","It’s… so weird. I have memories of two childhoods. Two homes. Two Lumières.","0.2","0.4","0.0","0.0","0.0","0.4","0.0"
"18","Back to Lumière","11","6","Sciel","You’re not an orphan anymore. You just found your family. Don’t you want to be with them?","0.0","0.0","0.5","0.0","0.0","0.5","0.0"
"18","Back to Lumière","11","7","Maelle","I love my family, but… they’re all gone. In one way or another. And you’re my family too. So are Gustave and Emma. And I didn’t see it at the time, but all the families who took turn taking care of me…","0.3","0.0","0.0","0.0","0.0","0.7","0.0"
"18","Back to Lumière","11","8","Sciel","Maelle.","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","Back to Lumière","11","9","Lune","This is a lot to take in.","0.3","0.3","0.0","0.0","0.0","0.4","0.0"
"18","Back to Lumière","11","10","Sciel","Yeah. But for the first time in a long time, I have hope.","0.4","0.0","0.6","0.0","0.0","0.0","0.0"
