"chapter_index","chapter","dialogue_index","line_index","speaker","line","happiness","ambitious","surprise","anger","sadness","fear","neutral"
"11","Monoco’s Station","5","10","Verso","Then you know what that means. This our shot, it might be our only shot.","0.0","0.6","0.0","0.0","0.0","0.0","0.4"
"11","Monoco’s Station","5","11","Monoco","This is YOUR only shot. Out of question. I will never join you again.","0.0","0.0","0.0","0.5","0.0","0.0","0.5"
"11","Monoco’s Station","5","12","Verso","There will be a lot of fighting though.","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"11","Monoco’s Station","5","13","Monoco","Oh yeah, that’s true.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","5","14","Verso","Yeah, that’s true.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","5","15","Monoco","There will be a lot of fighting.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","5","16","Verso","Exactly.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","5","17","Monoco","Count me in then.","0.6","0.0","0.0","0.0","0.0","0.0","0.4"
"11","Monoco’s Station","5","18","Verso","Good.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","5","19","Monoco","Good.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","5","20","Verso","Good.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","5","21","Monoco","Good.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","5","22","Verso","Yes, good.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","5","23","Maelle","Noco’s coming too.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"11","Monoco’s Station","5","24","Verso","You are???","0.5","0.0","0.5","0.0","0.0","0.0","0.0"
"11","Monoco’s Station","5","25","Noco","(gibberish) Not a lot of merchants go to Old Lumière! There will be tons of rare shiny treasure and then I shall be– THE UNDISPUTED. TOP. MERCHANT. IN THE WORLD!","0.0","0.8","0.0","0.0","0.0","0.0","0.2"
"11","Monoco’s Station","5","26","Monoco","As a responsible parent, this is a superb idea. Let us go. To Old Lumière.","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
